"","mes_ano","pais","valor"
"1",1989-01-01,"Australia",1660
"2",1989-02-01,"Australia",3090
"3",1989-03-01,"Australia",2570
"4",1989-04-01,"Australia",1580
"5",1989-05-01,"Australia",1850
"6",1989-06-01,"Australia",1920
"7",1989-07-01,"Australia",1100
"8",1989-08-01,"Australia",1220
"9",1989-09-01,"Australia",1100
"10",1989-10-01,"Australia",1250
"11",1989-11-01,"Australia",2380
"12",1989-12-01,"Australia",9330
"13",1990-01-01,"Australia",4420
"14",1990-02-01,"Australia",2450
"15",1990-03-01,"Australia",1510
"16",1990-04-01,"Australia",3720
"17",1990-05-01,"Australia",3030
"18",1990-06-01,"Australia",1500
"19",1990-07-01,"Australia",1050
"20",1990-08-01,"Australia",1190
"21",1990-09-01,"Australia",1170
"22",1990-10-01,"Australia",1080
"23",1990-11-01,"Australia",1300
"24",1990-12-01,"Australia",1300
"25",1991-01-01,"Australia",1260
"26",1991-02-01,"Australia",1160
"27",1991-03-01,"Australia",1430
"28",1991-04-01,"Australia",1120
"29",1991-05-01,"Australia",990
"30",1991-06-01,"Australia",1290
"31",1991-07-01,"Australia",1170
"32",1991-08-01,"Australia",1580
"33",1991-09-01,"Australia",1360
"34",1991-10-01,"Australia",1200
"35",1991-11-01,"Australia",1940
"36",1991-12-01,"Australia",1920
"37",1992-01-01,"Australia",1180
"38",1992-02-01,"Australia",2100
"39",1992-03-01,"Australia",1580
"40",1992-04-01,"Australia",1320
"41",1992-05-01,"Australia",1500
"42",1992-06-01,"Australia",1310
"43",1992-07-01,"Australia",1300
"44",1992-08-01,"Australia",1260
"45",1992-09-01,"Australia",1780
"46",1992-10-01,"Australia",1520
"47",1992-11-01,"Australia",1960
"48",1992-12-01,"Australia",1870
"49",1993-01-01,"Australia",1360
"50",1993-02-01,"Australia",1740
"51",1993-03-01,"Australia",1580
"52",1993-04-01,"Australia",1720
"53",1993-05-01,"Australia",1710
"54",1993-06-01,"Australia",1710
"55",1993-07-01,"Australia",1870
"56",1993-08-01,"Australia",2230
"57",1993-09-01,"Australia",1510
"58",1993-10-01,"Australia",2200
"59",1993-11-01,"Australia",2700
"60",1993-12-01,"Australia",1940
"61",1994-01-01,"Australia",1660
"62",1994-02-01,"Australia",1980
"63",1994-03-01,"Australia",2060
"64",1994-04-01,"Australia",2130
"65",1994-05-01,"Australia",2630
"66",1994-06-01,"Australia",2110
"67",1994-07-01,"Australia",2590
"68",1994-08-01,"Australia",2230
"69",1994-09-01,"Australia",2260
"70",1994-10-01,"Australia",3450
"71",1994-11-01,"Australia",3240
"72",1994-12-01,"Australia",3350
"73",1995-01-01,"Australia",2660
"74",1995-02-01,"Australia",2850
"75",1995-03-01,"Australia",2960
"76",1995-04-01,"Australia",3220
"77",1995-05-01,"Australia",2850
"78",1995-06-01,"Australia",2920
"79",1995-07-01,"Australia",3520
"80",1995-08-01,"Australia",3450
"81",1995-09-01,"Australia",3250
"82",1995-10-01,"Australia",4250
"83",1995-11-01,"Australia",5360
"84",1995-12-01,"Australia",5310
"85",1996-01-01,"Australia",3610
"86",1996-02-01,"Australia",3930
"87",1996-03-01,"Australia",4260
"88",1996-04-01,"Australia",4180
"89",1996-05-01,"Australia",4420
"90",1996-06-01,"Australia",4190
"91",1996-07-01,"Australia",4460
"92",1996-08-01,"Australia",4000
"93",1996-09-01,"Australia",4400
"94",1996-10-01,"Australia",4940
"95",1996-11-01,"Australia",6450
"96",1996-12-01,"Australia",5140
"97",1997-01-01,"Australia",4850
"98",1997-02-01,"Australia",4910
"99",1997-03-01,"Australia",5380
"100",1997-04-01,"Australia",5340
"101",1997-05-01,"Australia",5910
"102",1997-06-01,"Australia",4640
"103",1997-07-01,"Australia",4590
"104",1997-08-01,"Australia",5160
"105",1997-09-01,"Australia",4880
"106",1997-10-01,"Australia",6230
"107",1997-11-01,"Australia",7150
"108",1997-12-01,"Australia",6810
"109",1998-01-01,"Australia",6710
"110",1998-02-01,"Australia",6440
"111",1998-03-01,"Australia",6510
"112",1998-04-01,"Australia",5550
"113",1998-05-01,"Australia",6460
"114",1998-06-01,"Australia",5480
"115",1998-07-01,"Australia",7950
"116",1998-08-01,"Australia",6340
"117",1998-09-01,"Australia",5250
"118",1998-10-01,"Australia",6460
"119",1998-11-01,"Australia",6420
"120",1998-12-01,"Australia",6990
"121",1999-01-01,"Australia",6700
"122",1999-02-01,"Australia",9660
"123",1999-03-01,"Australia",6400
"124",1999-04-01,"Australia",6160
"125",1999-05-01,"Australia",7110
"126",1999-06-01,"Australia",6130
"127",1999-07-01,"Australia",8700
"128",1999-08-01,"Australia",7180
"129",1999-09-01,"Australia",6930
"130",1999-10-01,"Australia",9500
"131",1999-11-01,"Australia",8990
"132",1999-12-01,"Australia",9130
