"","pais","mae_s_naive_insample"
"1","Australia",9197.30478589421
"2","Austria",9867.27555555556
"3","Cambodia",21710.1135371179
"4","Canada",6509.52916666667
"5","Chile",635.162393162393
"6","Chinese Taipei",60526.7607361963
"7","Czech",14345.7333333333
"8","Hawaii",1488.91435768262
"9","Hong Kong SAR",445755.866906475
"10","Indonesia",38776.3027522936
"11","Japan",71755.2350993377
"12","Korea (ROK)",80231.8442906574
"13","Macao, China",263051.527075812
"14","Maldives",3142
"15","Mexico",2167.7756097561
"16","New Zealand",4746.66804979253
"17","Singapore",40644.7066115702
"18","Thailand",90488.2984615385
"19","Turkey",4116.20257234727
"20","USA",26897.6165413534
