"","pais","mae_s_naive_insample"
"1","Australia",5805.33333333333
"2","Austria",5943.8670212766
"3","Cambodia",13248.921875
"4","Canada",3966.00980392157
"5","Chile",389.1
"6","Chinese Taipei",56686.4682539683
"7","Czech",8596.94047619048
"8","Hawaii",1350.02777777778
"9","Hong Kong SAR",331386.529166667
"10","Indonesia",28231.75
"11","Japan",43643.6856060606
"12","Korea (ROK)",67283.2103174603
"13","Macao, China",167430.8
"14","Maldives",2297.82327586207
"15","Mexico",1196
"16","New Zealand",3454.78921568627
"17","Singapore",29614.0637254902
"18","Thailand",62697.1979166667
"19","Turkey",2903.17391304348
"20","USA",17070.2850877193
